Cable ID,PwrE,HybE,RotW,FlxW,OCHand,MFHand
K6,PwrE_EspirePro,,RotW_StandardWristRotator,,OCHand_SensorHandSpeed,
K6,PwrE_EspirePro,,RotW_StandardWristRotator,,OCHand_SystemElectricGreifer,
K6,PwrE_EspirePro,,RotW_StandardWristRotator,,OCHand_SystemElectricHand,
K6,PwrE_EspirePro,,RotW_StandardWristRotator,,OCHand_TASKA,
K6,PwrE_EspirePro,,RotW_StandardWristRotator,,OCHand_VincentEvolution3,
K8,PwrE_EspirePro,,RotW_StandardWristRotator,,,MFHand_iLimbQuantum
K8,PwrE_EspirePro,,RotW_StandardWristRotator,,,MFHand_VincentEvolution3
K8,PwrE_EspirePro,,RotW_StandardWristRotator_6BandCoaxialPlug,,,MFHand_AbilityHand
K8,PwrE_EspirePro,,RotW_StandardWristRotator_6BandCoaxialPlug,,,MFHand_AetherZeus
K8,PwrE_EspirePro,,RotW_StandardWristRotator_6BandCoaxialPlug,,,MFHand_bebionicBBHxxxQD
K8,PwrE_EspirePro,,RotW_StandardWristRotator_6BandCoaxialPlug,,,MFHand_CovviHand
K8,PwrE_EspirePro,,RotW_StandardWristRotator_6BandCoaxialPlug,,,MFHand_Esper_Hand
K8,PwrE_EspirePro,,RotW_StandardWristRotator_6BandCoaxialPlug,,,MFHand_iLimbQuantum
K8,PwrE_EspirePro,,RotW_StandardWristRotator_6BandCoaxialPlug,,,MFHand_MIA_Hand
K8,PwrE_EspirePro,,RotW_StandardWristRotator_6BandCoaxialPlug,,,MFHand_TASKA
K8,PwrE_EspirePro,,RotW_StandardWristRotator_6BandCoaxialPlug,,,MFHand_TASKA_CX
K6,PwrE_EspirePro,,,,OCHand_AbilityHand,
K6,PwrE_EspirePro,,,,OCHand_Adams_Hand,
K6,PwrE_EspirePro,,,,OCHand_AetherZeus,
K6,PwrE_EspirePro,,,,OCHand_bebionic,
K6,PwrE_EspirePro,,,,OCHand_CovviHand,
K6,PwrE_EspirePro,,,,OCHand_Esper_Hand,
K6,PwrE_EspirePro,,,,OCHand_Genesis_Hand,
K6,PwrE_EspirePro,,,,OCHand_iLimbHands,
K6,PwrE_EspirePro,,,,OCHand_Myo_Kinisi,
K6,PwrE_EspirePro,,,,OCHand_MyoHandVariPlusSpeed,
K6,PwrE_EspirePro,,,,OCHand_ProPlusETD_ETD2,
K6,PwrE_EspirePro,,,,OCHand_ProPlusHand,
K6,PwrE_EspirePro,,,,OCHand_SensorHandSpeed,
K6,PwrE_EspirePro,,,,OCHand_SystemElectricGreifer,
K6,PwrE_EspirePro,,,,OCHand_SystemElectricHand,
K6,PwrE_EspirePro,,,,OCHand_TASKA,
K6,PwrE_EspirePro,,,,OCHand_VincentEvolution3,
K8,PwrE_EspirePro,,,,,MFHand_AbilityHand
